0.0000	0.0050	0.0100	0.0140	0.0289	9.8600
0.0100	0.0050	0.0092	0.0092	0.2555	6.3012
0.0200	0.0050	0.0093	0.0093	0.3710	9.8600
0.0300	0.0050	0.0095	0.0095	0.5621	8.5433
0.0400	0.0050	0.0097	0.0097	0.6354	3.8111
0.0500	0.0050	0.0094	0.0094	0.3977	6.4299
0.0600	0.0050	0.0094	0.0094	0.3755	9.7324
0.0700	0.0050	0.0096	0.0096	0.5576	6.2863
0.0800	0.0050	0.0097	0.0097	0.4976	7.2791
0.0900	0.0050	0.0095	0.0095	0.4910	5.7144
0.1000	0.0050	0.0095	0.0095	0.4177	8.2422
0.1100	0.0050	0.0095	0.0095	0.4954	7.3965
0.1200	0.0050	0.0096	0.0096	0.5176	7.1047
0.1300	0.0050	0.0095	0.0095	0.4976	6.1391
0.1400	0.0050	0.0095	0.0095	0.4377	8.0917
0.1500	0.0050	0.0095	0.0095	0.5021	7.4786
0.1600	0.0050	0.0095	0.0095	0.5243	6.2310
0.1700	0.0050	0.0094	0.0094	0.4599	6.5692
0.1800	0.0050	0.0095	0.0095	0.4288	9.8600
0.1900	0.0050	0.0097	0.0097	0.5843	7.7881
0.2000	0.0050	0.0098	0.0098	0.5976	5.4725
0.2100	0.0050	0.0095	0.0095	0.4532	6.8677
0.2200	0.0050	0.0095	0.0095	0.4332	9.2843
0.2300	0.0050	0.0097	0.0097	0.5687	7.9079
0.2400	0.0050	0.0096	0.0096	0.5887	4.9678
0.2500	0.0050	0.0095	0.0095	0.4243	8.5056
0.2600	0.0050	0.0095	0.0095	0.5043	8.5687
0.2700	0.0050	0.0096	0.0096	0.5843	6.6103
0.2800	0.0050	0.0096	0.0096	0.5221	7.4726
0.2900	0.0050	0.0096	0.0096	0.5088	7.8794
0.3000	0.0050	0.0096	0.0096	0.5399	7.3432
0.3100	0.0050	0.0097	0.0097	0.5265	8.7492
0.3200	0.0050	0.0096	0.0096	0.5932	5.8429
0.3300	0.0050	0.0096	0.0096	0.4821	9.1017
0.3400	0.0050	0.0096	0.0096	0.5687	7.3700
0.3500	0.0050	0.0096	0.0096	0.5576	7.2140
0.3600	0.0050	0.0097	0.0097	0.5221	9.5154
0.3700	0.0050	0.0096	0.0096	0.6265	5.1382
0.3800	0.0050	0.0096	0.0096	0.4643	9.4658
0.3900	0.0050	0.0096	0.0096	0.5732	7.6223
0.4000	0.0050	0.0096	0.0096	0.5732	7.5801
0.4100	0.0050	0.0096	0.0096	0.5599	7.1985
0.4200	0.0050	0.0096	0.0096	0.5221	9.3686
0.4300	0.0050	0.0096	0.0096	0.6176	6.6000
0.4400	0.0050	0.0096	0.0096	0.5421	7.7936
0.4500	0.0050	0.0096	0.0096	0.5399	8.6972
0.4600	0.0050	0.0097	0.0097	0.5976	8.1574
0.4700	0.0050	0.0096	0.0096	0.6087	6.4909
0.4800	0.0050	0.0096	0.0096	0.5154	9.0625
0.4900	0.0050	0.0096	0.0096	0.5887	7.8704
0.5000	0.0050	0.0097	0.0097	0.5887	8.5673
0.5100	0.0050	0.0097	0.0097	0.6176	7.7264
0.5200	0.0050	0.0096	0.0096	0.5843	7.3956
0.5300	0.0050	0.0096	0.0096	0.5532	9.0377
0.5400	0.0050	0.0096	0.0096	0.6176	7.4941
0.5500	0.0050	0.0097	0.0097	0.5798	8.8936
0.5600	0.0050	0.0097	0.0097	0.6287	7.4026
0.5700	0.0050	0.0097	0.0097	0.5776	9.3166
0.5800	0.0050	0.0097	0.0097	0.6487	6.7337
0.5900	0.0050	0.0096	0.0096	0.5576	8.9281
0.6000	0.0050	0.0096	0.0096	0.6043	8.5059
0.6100	0.0050	0.0096	0.0096	0.6376	7.2253
0.6200	0.0050	0.0096	0.0096	0.5643	9.4933
0.6300	0.0050	0.0097	0.0097	0.6487	7.9194
0.6400	0.0050	0.0097	0.0097	0.6265	7.9073
0.6500	0.0050	0.0096	0.0096	0.5954	8.5789
0.6600	0.0050	0.0097	0.0097	0.6198	9.4032
0.6700	0.0050	0.0098	0.0098	0.6887	7.7305
0.6800	0.0050	0.0097	0.0097	0.6309	7.6210
0.6900	0.0050	0.0097	0.0097	0.5754	9.8600
0.7000	0.0050	0.0097	0.0097	0.6732	7.6018
0.7100	0.0050	0.0097	0.0097	0.6243	9.1612
0.7200	0.0050	0.0097	0.0097	0.6643	7.9829
0.7300	0.0050	0.0097	0.0097	0.6287	8.4221
0.7400	0.0050	0.0096	0.0096	0.6265	8.5386
0.7500	0.0050	0.0097	0.0097	0.6354	9.2053
0.7600	0.0050	0.0097	0.0097	0.6843	7.9678
0.7700	0.0050	0.0097	0.0097	0.6376	8.9806
0.7800	0.0050	0.0098	0.0098	0.6620	9.0802
0.7900	0.0050	0.0098	0.0098	0.6931	7.7839
0.8000	0.0050	0.0097	0.0097	0.6287	9.2121
0.8100	0.0050	0.0097	0.0097	0.6709	8.6198
0.8200	0.0050	0.0097	0.0097	0.6732	8.4236
0.8300	0.0050	0.0097	0.0097	0.6554	9.0714
0.8400	0.0050	0.0097	0.0097	0.6798	8.5505
0.8500	0.0050	0.0098	0.0098	0.6709	9.2811
0.8600	0.0050	0.0098	0.0098	0.7043	8.6368
0.8700	0.0050	0.0097	0.0097	0.6887	7.7230
0.8800	0.0050	0.0098	0.0098	0.6198	9.8600
0.8900	0.0050	0.0097	0.0097	0.6909	9.1863
0.9000	0.0050	0.0098	0.0098	0.7265	8.6771
0.9100	0.0050	0.0098	0.0098	0.7020	8.6962
0.9200	0.0050	0.0098	0.0098	0.6865	9.3235
0.9300	0.0050	0.0098	0.0098	0.7065	8.9968
0.9400	0.0050	0.0098	0.0098	0.7043	9.0757
0.9500	0.0050	0.0097	0.0097	0.7109	7.8919
0.9600	0.0050	0.0097	0.0097	0.6443	9.8600
0.9700	0.0050	0.0097	0.0097	0.7043	9.3441
0.9800	0.0050	0.0098	0.0098	0.7420	8.8282
0.9900	0.0050	0.0098	0.0098	0.7176	8.9553
1.0000	0.0050	0.0097	0.0097	0.7043	8.5688
1.0100	0.0050	0.0098	0.0098	0.6798	9.8600
1.0200	0.0050	0.0098	0.0098	0.7287	9.3999
1.0300	0.0050	0.0098	0.0098	0.7576	8.0627
1.0400	0.0050	0.0098	0.0098	0.6820	9.8600
1.0500	0.0050	0.0098	0.0098	0.7198	9.8600
1.0600	0.0050	0.0098	0.0098	0.7731	8.8943
1.0700	0.0050	0.0098	0.0098	0.7465	8.9334
1.0800	0.0050	0.0098	0.0098	0.7176	9.4238
1.0900	0.0050	0.0098	0.0098	0.7354	9.8600
1.1000	0.0050	0.0098	0.0098	0.7687	8.6428
1.1100	0.0050	0.0098	0.0098	0.7243	9.8505
1.1200	0.0050	0.0099	0.0099	0.7509	9.8600
1.1300	0.0050	0.0099	0.0099	0.7842	9.0225
1.1400	0.0050	0.0098	0.0098	0.7554	8.9624
1.1500	0.0050	0.0098	0.0098	0.7243	9.8600
1.1600	0.0050	0.0098	0.0098	0.7576	9.3706
1.1700	0.0050	0.0098	0.0098	0.7665	9.1077
1.1800	0.0050	0.0099	0.0099	0.7465	9.8600
1.1900	0.0050	0.0099	0.0099	0.7665	9.5570
1.2000	0.0050	0.0098	0.0098	0.7776	8.3323
1.2100	0.0050	0.0098	0.0098	0.7043	9.8600
1.2200	0.0050	0.0099	0.0099	0.7376	9.8600
1.2300	0.0050	0.0099	0.0099	0.7776	9.8600
1.2400	0.0050	0.0099	0.0099	0.7953	9.4559
1.2500	0.0050	0.0099	0.0099	0.7909	9.4999
